,price,id,zipcode,condition,median_price,recomendations
0,221900.0,7129300520,98178,3,278277.0,comprar
1,205425.0,4060000240,98178,4,278277.0,comprar
2,445000.0,4058801670,98178,3,278277.0,não comprar
3,236000.0,2976800796,98178,3,278277.0,comprar
4,170000.0,6874200960,98178,3,278277.0,comprar
5,245000.0,4268200055,98178,3,278277.0,comprar
6,165000.0,3969300030,98178,3,278277.0,comprar
7,239900.0,3969300030,98178,3,278277.0,comprar
8,339000.0,1678400105,98178,3,278277.0,não comprar
9,290900.0,2172000075,98178,3,278277.0,não comprar
10,190000.0,1180003090,98178,3,278277.0,comprar
11,260000.0,561000075,98178,4,278277.0,comprar
12,360000.0,1123049053,98178,3,278277.0,não comprar
13,289500.0,7812800565,98178,4,278277.0,não comprar
14,188000.0,3348401740,98178,3,278277.0,comprar
15,350000.0,2171400197,98178,3,278277.0,não comprar
16,164808.0,5476200160,98178,3,278277.0,comprar
17,310000.0,9368700223,98178,5,278277.0,não comprar
18,825000.0,7567600045,98178,4,278277.0,não comprar
19,269000.0,2171400126,98178,3,278277.0,comprar
20,252500.0,3352402236,98178,5,278277.0,comprar
21,790000.0,8069000075,98178,3,278277.0,não comprar
22,260000.0,7812800310,98178,3,278277.0,comprar
23,245000.0,2171400218,98178,3,278277.0,comprar
24,1700000.0,8073000550,98178,3,278277.0,não comprar
25,612000.0,4058800830,98178,3,278277.0,não comprar
26,285000.0,9368700341,98178,5,278277.0,não comprar
27,299000.0,1180002378,98178,3,278277.0,não comprar
28,212000.0,185000118,98178,5,278277.0,comprar
29,240000.0,3810000860,98178,3,278277.0,comprar
30,255000.0,3810000565,98178,3,278277.0,comprar
31,335000.0,1180500070,98178,3,278277.0,não comprar
32,194000.0,179000350,98178,3,278277.0,comprar
33,251700.0,3810000202,98178,3,278277.0,comprar
34,150000.0,4058802105,98178,3,278277.0,comprar
35,280005.0,2976800550,98178,3,278277.0,não comprar
36,243000.0,3810000465,98178,4,278277.0,comprar
37,400000.0,7129300400,98178,3,278277.0,não comprar
38,355000.0,7878400135,98178,3,278277.0,não comprar
39,294000.0,7887200390,98178,3,278277.0,não comprar
40,210000.0,179003055,98178,3,278277.0,comprar
41,184500.0,3352400004,98178,3,278277.0,comprar
42,199000.0,3352401981,98178,3,278277.0,comprar
43,415000.0,393000045,98178,3,278277.0,não comprar
44,285000.0,2144800215,98178,4,278277.0,não comprar
45,200000.0,5476200123,98178,3,278277.0,comprar
